,City,Region,Occupying Organisation
0,Reggio Calabria,Calabria,'Ndrangheta
1,Catanzaro,Calabria,'Ndrangheta
2,Corigliano-Rossano,Calabria,'Ndrangheta
3,Lamezia Terme,Calabria,'Ndrangheta
4,Cosenza,Calabria,'Ndrangheta
5,Crotone,Calabria,'Ndrangheta
6,Rende,Calabria,'Ndrangheta
7,Vibo Valentia,Calabria,'Ndrangheta
8,Castrovillari,Calabria,'Ndrangheta
9,Acri,Calabria,'Ndrangheta
10,Montalto Uffugo,Calabria,'Ndrangheta
11,Naples,Campania,Camorra
12,Salerno,Campania,Camorra
13,Caserta,Campania,Camorra
14,Avellino,Campania,Camorra
15,Benevento,Campania,Camorra
16,Bari,Puglia,Sacra Corona Unita
17,Taranto,Puglia,Sacra Corona Unita
18,Foggia,Puglia,Sacra Corona Unita
19,Andria,Puglia,Sacra Corona Unita
20,Lecce,Puglia,Sacra Corona Unita
21,Palermo,Sicily,Cosa Nostra
22,Catania,Sicily,Cosa Nostra
23,Messina,Sicily,Cosa Nostra
24,Syracuse,Sicily,Cosa Nostra
25,Marsala,Sicily,Cosa Nostra
26,Gela,Sicily,Cosa Nostra
27,Ragusa,Sicily,Cosa Nostra
28,Trapani,Sicily,Cosa Nostra
29,Vittoria,Sicily,Cosa Nostra
30,Caltanissetta,Sicily,Cosa Nostra
