,Crime ID,Date,Crime Type,Suspect ID,Status,Lead Officer ID,Region,City,Case ID
0,0,2005-03-31,labor racketeering,Ndr0003925,On-going,CLA833683580,Calabria,Corigliano-Rossano,N/A
1,1,2016-11-09,infiltration of legitimate businesses,Ndr0004252,On-going,CLA699888768,Calabria,Lamezia Terme,N/A
2,2,2007-12-29,gambling,Cam0002143,Solved,CPA993147409,Campania,Avellino,N/A
3,3,2005-06-19,extortion,Ndr0003895,Solved,CLA190428542,Calabria,Reggio Calabria,N/A
4,4,2009-09-10,drug trafficking,Ndr0003267,On-going,CLA612371462,Calabria,Catanzaro,N/A
5,5,2017-04-04,corruption of public officials,Ndr0002455,Solved,CLA552417547,Calabria,Crotone,N/A
6,6,2002-03-09,tax-fraud schemes,Cam0004706,Solved,CPA752752748,Campania,Benevento,N/A
7,7,2009-01-19,extortion,Sac0000399,On-going,PGA218856885,Puglia,Foggia,N/A
8,8,2020-11-29,labor racketeering,Ndr0003841,On-going,CLA417972603,Calabria,Montalto Uffugo,N/A
9,9,2019-07-09,corruption of public officials,Sac0000410,On-going,PGA561553543,Puglia,Taranto,N/A
10,10,2021-09-26,murder,Cos0002318,Solved,SCY321348935,Sicily,Palermo,1
11,11,2000-03-28,murder,Ndr0003992,Solved,CLA839746885,Calabria,Cosenza,N/A
12,12,2001-04-15,murder,Cos0004253,Solved,SCY103645939,Sicily,Marsala,N/A
13,13,2021-11-29,prostitution,Sac0000410,On-going,PGA620419571,Puglia,Taranto,N/A
14,14,2010-10-18,loan sharking,Cos0003071,Solved,SCY882665394,Sicily,Gela,N/A
15,15,2022-01-15,infiltration of legitimate businesses,Ndr0003765,On-going,CLA60422941,Calabria,Montalto Uffugo,N/A
16,16,2016-11-13,murder,Cam0004812,Solved,CPA948226240,Campania,Salerno,N/A
17,17,2000-07-28,extortion,Cos0002873,Solved,SCY60100250,Sicily,Caltanissetta,N/A
18,18,2016-05-27,drug trafficking,Sac0001350,On-going,PGA9717998,Puglia,Taranto,N/A
19,19,2002-12-10,infiltration of legitimate businesses,Cam0000987,On-going,CPA382878000,Campania,Caserta,N/A
20,20,2007-02-13,tax-fraud schemes,Cam0003412,On-going,CPA385323792,Campania,Caserta,N/A
21,21,2018-11-02,tax-fraud schemes,Ndr0000511,On-going,CLA403528025,Calabria,Acri,N/A
22,22,2019-02-16,corruption of public officials,Sac0001356,Solved,PGA856004720,Puglia,Lecce,N/A
23,23,2019-09-14,loan sharking,Cam0002900,On-going,CPA86529632,Campania,Caserta,N/A
24,24,2000-06-29,loan sharking,Cos0003311,Solved,SCY736156700,Sicily,Vittoria,N/A
25,25,2007-07-07,extortion,Cos0000837,Solved,SCY650364775,Sicily,Gela,N/A
26,26,2014-12-30,labor racketeering,Ndr0001157,On-going,CLA211830533,Calabria,Reggio Calabria,N/A
27,27,2011-06-03,infiltration of legitimate businesses,Sac0001196,Solved,PGA506195468,Puglia,Andria,N/A
28,28,2009-11-16,drug trafficking,Sac0001663,Solved,PGA562019939,Puglia,Foggia,N/A
29,29,2010-12-14,loan sharking,Sac0000722,Solved,PGA921055743,Puglia,Lecce,N/A
30,30,2014-02-20,tax-fraud schemes,Sac0001446,Solved,PGA753877753,Puglia,Andria,N/A
31,31,2013-07-21,prostitution,Sac0001171,On-going,PGA396991277,Puglia,Foggia,N/A
32,32,2012-10-02,labor racketeering,Ndr0000391,Solved,CLA200607890,Calabria,Crotone,N/A
33,33,2009-06-30,labor racketeering,Ndr0003150,On-going,CLA895787244,Calabria,Acri,N/A
34,34,2021-12-14,tax-fraud schemes,Ndr0004094,Solved,CLA969213279,Calabria,Cosenza,N/A
35,35,2018-11-19,corruption of public officials,Cam0003903,On-going,CPA791452895,Campania,Salerno,N/A
36,36,2002-05-08,corruption of public officials,Ndr0000922,On-going,CLA184520363,Calabria,Rende,N/A
37,37,2013-12-02,tax-fraud schemes,Sac0000610,Solved,PGA255504715,Puglia,Foggia,N/A
38,38,2006-10-09,prostitution,Cam0003631,On-going,CPA321987855,Campania,Benevento,N/A
39,39,2015-06-10,infiltration of legitimate businesses,Ndr0005064,On-going,CLA315898653,Calabria,Vibo Valentia,N/A
40,40,2009-12-17,extortion,Sac0000810,On-going,PGA74967853,Puglia,Bari,N/A
41,41,2014-10-24,loan sharking,Cos0003273,On-going,SCY967333011,Sicily,Marsala,N/A
42,42,2004-03-03,labor racketeering,Ndr0002792,Solved,CLA608920241,Calabria,Vibo Valentia,N/A
43,43,2016-11-16,gambling,Ndr0000548,Solved,CLA193989672,Calabria,Corigliano-Rossano,N/A
44,44,2012-06-28,infiltration of legitimate businesses,Ndr0001626,Solved,CLA88279178,Calabria,Vibo Valentia,N/A
45,45,2007-04-24,infiltration of legitimate businesses,Cos0004470,On-going,SCY313550185,Sicily,Palermo,N/A
46,46,2003-06-02,infiltration of legitimate businesses,Ndr0003318,On-going,CLA571068388,Calabria,Vibo Valentia,N/A
47,47,2006-10-08,loan sharking,Ndr0002212,Solved,CLA91800652,Calabria,Catanzaro,N/A
48,48,2012-12-25,tax-fraud schemes,Ndr0003131,Solved,CLA424665605,Calabria,Acri,N/A
