,Crime_ID,Date,Crime_Type,Victim_ID,Suspect_ID,Status,Lead_Officer_ID,Region,City,Case_ID
0,CR0,06/10/2012,murder,P00577641,Ndr0004768,Solved,CLA690683620,Calabria,Montalto Uffugo,CA1094
1,CR1,17/12/2002,extortion,P00592863,Cos0003216,Solved,SCY196607578,Sicily,Catania,N/A
2,CR2,27/05/2010,tax-fraud schemes,P00032276,Sac0001381,On-going,PGA680899267,Puglia,Lecce,CA1261
3,CR3,08/01/2016,tax-fraud schemes,P00385542,Ndr0003178,Solved,CLA129561903,Calabria,Vibo Valentia,N/A
4,CR4,18/04/2009,prostitution,P00385666,Ndr0004035,On-going,CLA750984636,Calabria,Acri,CA24
5,CR5,22/10/2006,gambling,P00237863,Cam0001680,On-going,CPA845334686,Campania,Salerno,N/A
6,CR6,28/10/2021,labor racketeering,P00173372,Cam0003775,Solved,CPA341469286,Campania,Salerno,N/A
7,CR7,25/02/2007,infiltration of legitimate businesses,P00785601,Cos0004469,On-going,SCY384558879,Sicily,Vittoria,N/A
8,CR8,03/01/2019,prostitution,P00859285,Cos0000403,On-going,SCY159673065,Sicily,Ragusa,N/A
9,CR9,22/09/2018,prostitution,P00151328,Cam0002058,On-going,CPA600321559,Campania,Caserta,N/A
10,CR10,11/02/2010,tax-fraud schemes,P00955583,Cos0004354,Solved,SCY229853261,Sicily,Catania,N/A
11,CR11,08/06/2008,corruption of public officials,P00566913,Ndr0002264,On-going,CLA781906363,Calabria,Castrovillari,N/A
12,CR12,20/02/2004,prostitution,P00769458,Ndr0000246,Solved,CLA280939190,Calabria,Rende,N/A
13,CR13,11/08/2009,murder,P00356080,Sac0000258,On-going,PGA211283013,Puglia,Andria,CA1108
14,CR14,21/09/2014,loan sharking,P00497155,Ndr0002048,On-going,CLA286083401,Calabria,Rende,CA1859
15,CR15,14/08/2008,murder,P00503860,Sac0000960,Solved,PGA820910790,Puglia,Andria,N/A
16,CR16,05/04/2009,tax-fraud schemes,P00246304,Cos0001556,Solved,SCY659803181,Sicily,Caltanissetta,N/A
17,CR17,28/09/2009,extortion,P00744493,Ndr0001272,On-going,CLA439390750,Calabria,Reggio Calabria,N/A
18,CR18,12/07/2018,labor racketeering,P00732883,Cos0002979,On-going,SCY206240287,Sicily,Palermo,N/A
19,CR19,11/06/2005,labor racketeering,P00767213,Cos0003488,On-going,SCY463727862,Sicily,Caltanissetta,CA1931
20,CR20,08/05/2008,murder,P00571465,Sac0000702,On-going,PGA302668548,Puglia,Andria,CA742
21,CR21,31/08/2002,loan sharking,P00703389,Sac0000850,On-going,PGA762787126,Puglia,Foggia,CA475
22,CR22,23/12/2002,tax-fraud schemes,P00037188,Sac0001177,On-going,PGA80639786,Puglia,Bari,N/A
23,CR23,10/03/2000,murder,P00873472,Sac0001275,Solved,PGA522605784,Puglia,Lecce,N/A
24,CR24,15/02/2018,murder,P00701806,Cam0004825,Solved,CPA335883278,Campania,Caserta,N/A
25,CR25,31/03/2014,labor racketeering,P00626501,Cam0004979,Solved,CPA608404699,Campania,Naples,N/A
26,CR26,27/07/2007,gambling,P00975612,Cam0002845,Solved,CPA859624010,Campania,Caserta,N/A
27,CR27,18/04/2021,loan sharking,P00791520,Sac0000821,On-going,PGA917477133,Puglia,Foggia,CA167
28,CR28,01/09/2014,loan sharking,P00234122,Ndr0001669,Solved,CLA507759471,Calabria,Cosenza,CA1340
29,CR29,26/07/2002,labor racketeering,P00425000,Cam0003454,Solved,CPA53674717,Campania,Naples,N/A
30,CR30,07/02/2013,infiltration of legitimate businesses,P00901520,Cam0003991,Solved,CPA526351846,Campania,Benevento,N/A
31,CR31,08/08/2021,infiltration of legitimate businesses,P00021118,Cam0003222,Solved,CPA330996395,Campania,Naples,N/A
32,CR32,29/12/2015,gambling,P00983897,Sac0000821,Solved,PGA533415591,Puglia,Foggia,CA1020
33,CR33,09/02/2007,gambling,P00545966,Cos0000375,Solved,SCY862741991,Sicily,Trapani,N/A
34,CR34,17/10/2013,drug trafficking,P00456486,Cam0004470,Solved,CPA393520556,Campania,Caserta,N/A
35,CR35,18/01/2003,murder,P00533376,Sac0000255,Solved,PGA812874137,Puglia,Foggia,N/A
36,CR36,23/04/2017,extortion,P00684896,Cam0003096,On-going,CPA505144038,Campania,Salerno,N/A
37,CR37,09/12/2009,loan sharking,P00412822,Cam0002513,On-going,CPA721339621,Campania,Salerno,N/A
38,CR38,05/10/2000,tax-fraud schemes,P00709319,Ndr0001149,On-going,CLA18016092,Calabria,Vibo Valentia,CA378
39,CR39,25/03/2006,labor racketeering,P00400195,Cam0002951,On-going,CPA463246388,Campania,Salerno,N/A
40,CR40,05/12/2008,murder,P00129704,Cam0002145,On-going,CPA229265088,Campania,Salerno,N/A
41,CR41,07/02/2006,loan sharking,P00222521,Cam0000509,Solved,CPA323324769,Campania,Avellino,N/A
42,CR42,23/11/2003,gambling,P00575902,Cos0002327,On-going,SCY895524812,Sicily,Trapani,N/A
43,CR43,23/08/2000,gambling,P00412093,Cam0001800,Solved,CPA522832404,Campania,Naples,N/A
44,CR44,16/04/2012,extortion,P00012755,Ndr0000708,On-going,CLA790203187,Calabria,Catanzaro,N/A
45,CR45,25/11/2020,infiltration of legitimate businesses,P00678946,Cos0002852,On-going,SCY670863844,Sicily,Caltanissetta,CA1212
46,CR46,15/04/2006,gambling,P00590392,Cam0002413,Solved,CPA891170869,Campania,Avellino,N/A
47,CR47,03/11/2014,extortion,P00735525,Ndr0001163,Solved,CLA312019799,Calabria,Reggio Calabria,N/A
48,CR48,06/06/2013,loan sharking,P00967153,Cam0005028,On-going,CPA472161844,Campania,Avellino,N/A
49,CR49,21/02/2022,tax-fraud schemes,P00266066,Cam0002447,Solved,CPA300164132,Campania,Naples,N/A
50,CR50,11/11/2018,labor racketeering,P00434619,Cam0005405,Solved,CPA19697130,Campania,Salerno,N/A
51,CR51,11/04/2000,prostitution,P00353515,Cam0002762,On-going,CPA906980151,Campania,Avellino,N/A
52,CR52,24/08/2020,extortion,P00237892,Cam0002708,Solved,CPA551117579,Campania,Benevento,N/A
53,CR53,07/01/2011,extortion,P00578648,Cam0002622,Solved,CPA54546952,Campania,Naples,N/A
54,CR54,24/11/2020,tax-fraud schemes,P00583699,Cos0004296,Solved,SCY342503783,Sicily,Vittoria,CA1368
